RUN_DT,STN_CD,STN_CD_NM, ABRD_PRNB , GOFF_PRNB 
20200101,3900235,함평, 119 , 110 
20200101,3900236,무안, 16 , 20 
20200101,3900237,몽탄, 24 , 8 
20200101,3900239,일로, 71 , 60 
20200101,3900240,임성리, 6 , 2 
20200101,3900242,목포," 3,056 "," 2,364 "
20200101,3900245,삼례, 131 , 167 
20200101,3900248,전주," 4,581 "," 4,374 "
20200101,3900253,임실, 87 , 89 
20200101,3900256,오수, 99 , 89 
20200101,3900259,남원, 953 , 930 
20200101,3900263,곡성, 295 , 301 
20200101,3900265,구례구, 270 , 229 
20200101,3900271,순천," 4,355 "," 3,533 "
20200101,3900276,여천," 1,110 "," 1,181 "
20200101,3900279,여수엑스포," 4,264 "," 2,279 "
20200101,3900280,오송," 5,759 "," 7,643 "
20200101,3900281,청주, 314 , 451 
20200101,3900282,오근장, 328 , 490 
20200101,3900283,청주공항, 103 , 115 
20200101,3900285,증평, 230 , 350 
20200101,3900288,음성, 179 , 162 
20200101,3900290,주덕, 92 , 110 
20200101,3900292,충주, 648 , 624 
20200101,3900295,삼탄, 4 , 3 
20200101,3900320,아산, 983 , 932 
20200101,3900322,온양온천," 1,002 "," 1,027 "
20200101,3900324,도고온천, 111 , 89 
20200101,3900327,신례원, 172 , 198 
20200101,3900328,예산, 855 , 855 
20200101,3900330,삽교, 285 , 284 
20200101,3900332,홍성," 1,157 "," 1,176 "
20200101,3900334,광천, 369 , 310 
20200101,3900336,청소, 15 , 14 
20200101,3900338,대천," 1,917 "," 1,310 "
20200101,3900341,웅천, 205 , 156 
20200101,3900343,판교, 45 , 58 
20200101,3900345,서천, 376 , 387 
20200101,3900346,장항, 157 , 158 
20200101,3900348,군산, 795 , 757 
20200101,3900351,대야, 12 , 10 
20200101,3900361,행신," 2,399 "," 2,575 "
20200101,3900385,옥수, 56 , 74 
20200101,3900387,왕십리, 134 , 304 
20200101,3900388,청량리," 7,256 "," 9,315 "
20200101,3900426,평내호평, 786 , 767 
20200101,3900429,청평, 315 , 293 
20200101,3900431,가평," 1,185 ", 936 
20200101,3900433,백양리, 14 , 20 
20200101,3900434,강촌, 90 , 133 
20200101,3900436,남춘천," 3,355 "," 2,243 "
20200101,3900437,춘천," 2,441 "," 1,964 "
20200101,3900507,옥산, 24 , 21 
20200101,3900508,청리, 5 , 4 
20200101,3900509,상주, 96 , 119 
20200101,3900512,함창, 17 , 7 
20200101,3900513,점촌, 88 , 86 
20200101,3900515,용궁, 5 , 4 
20200101,3900516,개포, 6 , 3 
20200101,3900519,예천, 56 , 44 
20200101,3900538,극락강, 20 , 31 
20200101,3900539,광주, 602 , 572 
20200101,3900552,봉화, 31 , 61 
20200101,3900556,춘양, 4 , 52 
20200101,3900558,임기, 2 , - 
20200101,3900559,현동, 4 , 2 
20200101,3900560,분천, 374 , 571 
20200101,3900561,양원, 2 , 7 
20200101,3900562,승부, 30 , 25 
20200101,3900563,석포, 13 , 19 
20200101,3900565,철암, 426 , 330 
20200101,3900567,동백산, 39 , 75 
20200101,3900572,도계, 99 , 105 
20200101,3900576,신기, 4 , 1 
20200101,3900580,동해," 2,187 ", 486 
20200101,3900581,묵호, 304 , 327 
20200101,3900585,정동진," 4,505 "," 1,473 "
20200101,3900587,강릉," 8,798 "," 6,202 "
20200101,3900590,정선, 19 , 9 
20200101,3900591,나전, 2 , 2 
20200101,3900592,아우라지, 3 , 5 
20200101,3900601,쌍룡, 5 , 4 
20200101,3900604,영월, 229 , 224 
20200101,3900608,예미, 44 , 36 
20200101,3900611,민둥산, 38 , 77 
20200101,3900612,사북, 258 , 251 
20200101,3900613,고한, 108 , 146 
20200101,3900615,태백, 338 , 345 
20200101,3900621,부전," 1,886 "," 1,907 "
20200101,3900627,센텀, 226 , 249 
20200101,3900629,신해운대, 800 , 579 
20200101,3900631,기장, 386 , 393 
20200101,3900633,좌천, 163 , 179 
20200101,3900636,남창, 503 , 506 
20200101,3900637,덕하, 100 , 99 
20200101,3900639,태화강," 1,842 "," 1,703 "
20200101,3900641,호계, 979 , 928 
20200101,3900645,불국사, 220 , 183 
20200101,3900647,경주," 1,188 "," 1,050 "
20200101,3900651,안강, 32 , 37 
20200101,3900672,하양, 633 , 856 
20200101,3900682,한림정, 7 , 28 
20200101,3900683,진영, 860 , 702 
20200101,3900685,창원, 829 , 711 
20200101,3900686,마산," 1,637 "," 1,441 "
20200101,3900687,중리, 81 , 61 
20200101,3900689,함안, 68 , 56 
20200101,3900690,군북, 76 , 76 
20200101,3900694,반성, 31 , 28 
20200101,3900699,진주, 748 , 782 
20200101,3900701,완사, 8 , 1 
20200101,3900703,북천, 20 , 16 
20200101,3900705,횡천, 16 , 18 
20200101,3900706,하동, 86 , 93 
20200101,3900707,진상, 12 , 55 
20200101,3900710,광양, 30 , 27 
20200101,3900714,벌교, 26 , 25 
20200101,3900715,조성, 19 , 5 
20200101,3900716,예당, 11 , 8 
20200101,3900717,득량, 24 , 8 
20200101,3900718,보성, 104 , 94 
20200101,3900720,명봉, 1 , - 
20200101,3900722,이양, 4 , 6 
20200101,3900725,능주, 4 , 6 
20200101,3900727,화순, 14 , 21 
20200101,3900730,효천, 22 , 17 
20200101,3900731,서광주, 23 , 16 
20200101,3900883,광명," 11,934 "," 14,059 "
20200101,3900884,천안아산," 6,614 "," 8,612 "
20200101,3900894,김천구미," 2,111 "," 2,233 "
20200101,3900895,신경주," 1,943 "," 1,289 "
20200101,3900896,울산," 6,746 "," 4,673 "
20200101,3900898,상봉, 502 , 607 
20200101,3900901,진례, 3 , 16 
20200101,3900902,창원중앙," 2,750 "," 2,591 "
20200101,3900927,인천공항T1, 351 , 655 
20200101,3901026,공주, 275 , 207 
20200101,3901040,포항," 5,424 "," 3,323 "
20200101,3901057,횡성, 195 , 296 
20200101,3901058,둔내, 168 , 164 
20200101,3901059,평창, 309 , 335 
20200101,3901060,진부, 394 , 432 
20200101,3901063,인천공항T2, 131 , 262 
20200101,3901065,월포, 51 , 13 
20200101,3901066,장사, 22 , 9 
20200101,3901067,강구, 82 , 43 
20200101,3901068,영덕, 242 , 157 
20200102,3900023,서울," 43,313 "," 49,116 "
20200102,3900025,용산," 19,179 "," 19,958 "
20200102,3900030,영등포," 11,361 "," 10,732 "
20200102,3900039,안양, 690 , 578 
20200102,3900047,수원," 15,492 "," 16,043 "
20200102,3900052,오산, 268 , 310 
20200102,3900055,서정리, 53 , 56 
20200102,3900057,평택," 6,193 "," 7,350 "
20200102,3900058,성환, 57 , 128 
20200102,3900061,천안," 6,169 "," 6,495 "
20200102,3900063,전의, 96 , 111 
20200102,3900066,조치원," 3,891 "," 3,931 "
20200102,3900068,부강, 107 , 147 
20200102,3900070,신탄진," 1,836 "," 1,760 "
20200102,3900073,대전," 17,769 "," 18,112 "
20200102,3900075,옥천, 553 , 510 
20200102,3900076,이원, 58 , 35 
20200102,3900077,지탄, 6 , 2 
20200102,3900078,심천, 30 , 17 
20200102,3900079,각계, 1 , - 
20200102,3900080,영동," 1,431 "," 1,421 "
20200102,3900081,황간, 103 , 108 
20200102,3900082,추풍령, 68 , 37 
20200102,3900085,김천," 2,663 "," 2,624 "
20200102,3900088,구미," 6,552 "," 6,363 "
20200102,3900089,사곡, 38 , 33 
20200102,3900090,약목, 144 , 142 
20200102,3900091,왜관," 2,374 "," 2,302 "
20200102,3900093,신동, 6 , 5 
20200102,3900095,대구," 6,866 "," 7,055 "
20200102,3900096,동대구," 24,449 "," 22,642 "
20200102,3900099,경산," 2,861 "," 2,871 "
20200102,3900101,남성현, 6 , 8 
20200102,3900102,청도," 1,321 "," 1,239 "
20200102,3900104,상동, 86 , 72 
20200102,3900105,밀양," 2,951 "," 2,870 "
20200102,3900107,삼랑진, 461 , 449 
20200102,3900108,원동, 59 , 65 
20200102,3900109,물금," 1,326 "," 1,093 "
20200102,3900110,화명, 224 , 175 
20200102,3900111,구포," 3,901 "," 3,475 "
20200102,3900112,사상, 77 , 130 
20200102,3900114,부산," 19,665 "," 18,507 "
20200102,3900122,덕소, 93 , 75 
20200102,3900130,양평," 1,499 "," 1,373 "
20200102,3900132,용문, 365 , 346 
20200102,3900133,지평, 60 , 49 
20200102,3900134,석불, 2 , - 
20200102,3900135,일신, 7 , 9 
20200102,3900136,매곡, 17 , 17 
20200102,3900137,양동, 275 , 275 
20200102,3900138,삼산, 1 , 3 
20200102,3900140,동화, 36 , 40 
20200102,3900141,만종," 1,216 "," 1,062 "
20200102,3900142,원주," 1,566 "," 1,427 "
20200102,3900144,반곡, 69 , 110 
20200102,3900148,신림, 22 , 8 
20200102,3900153,제천," 1,711 "," 1,554 "
20200102,3900157,단양, 190 , 186 
20200102,3900160,희방사, 6 , 2 
20200102,3900161,풍기, 175 , 170 
20200102,3900164,영주, 693 , 608 
20200102,3900172,안동, 664 , 673 
20200102,3900177,의성, 136 , 122 
20200102,3900179,탑리, 26 , 28 
20200102,3900181,화본, 9 , 8 
20200102,3900184,신녕, 7 , 3 
20200102,3900186,북영천, 18 , 3 
20200102,3900187,영천," 1,168 "," 1,079 "
20200102,3900191,건천, 14 , 8 
20200102,3900194,서경주, 324 , 287 
20200102,3900195,서대전," 4,542 "," 4,281 "
20200102,3900199,계룡, 787 , 684 
20200102,3900202,연산, 43 , 34 
20200102,3900204,논산," 1,716 "," 1,665 "
20200102,3900206,강경, 333 , 365 
20200102,3900208,함열, 104 , 99 
20200102,3900211,익산," 6,164 "," 6,199 "
20200102,3900214,김제, 486 , 434 
20200102,3900216,신태인, 138 , 134 
20200102,3900218,정읍," 1,350 "," 1,220 "
20200102,3900221,백양사, 46 , 59 
20200102,3900224,장성, 265 , 286 
20200102,3900229,광주송정," 5,908 "," 5,326 "
20200102,3900231,나주," 1,035 "," 1,140 "
20200102,3900233,다시, 4 , 8 
20200102,3900235,함평, 76 , 97 
20200102,3900236,무안, 9 , 9 
20200102,3900237,몽탄, 16 , 13 
20200102,3900239,일로, 45 , 58 
20200102,3900240,임성리, 20 , 14 
20200102,3900242,목포," 2,460 "," 2,312 "
20200102,3900245,삼례, 109 , 142 
20200102,3900248,전주," 3,789 "," 3,732 "
20200102,3900253,임실, 183 , 99 
20200102,3900256,오수, 76 , 84 
20200102,3900259,남원, 960 , 862 
20200102,3900263,곡성, 277 , 263 
20200102,3900265,구례구, 211 , 217 
20200102,3900271,순천," 3,426 "," 2,987 "
20200102,3900276,여천," 1,056 ", 910 
20200102,3900279,여수엑스포," 2,148 "," 2,375 "
20200102,3900280,오송," 7,926 "," 8,460 "
20200102,3900281,청주, 279 , 354 
20200102,3900282,오근장, 362 , 371 
20200102,3900283,청주공항, 120 , 167 
20200102,3900285,증평, 383 , 296 
20200102,3900288,음성, 192 , 237 
20200102,3900290,주덕, 118 , 117 
20200102,3900292,충주, 746 , 688 
20200102,3900295,삼탄, 1 , 10 
20200102,3900320,아산," 1,032 "," 1,006 "
20200102,3900322,온양온천, 942 , 863 
20200102,3900324,도고온천, 58 , 79 
20200102,3900327,신례원, 185 , 183 
20200102,3900328,예산, 786 , 755 
20200102,3900330,삽교, 275 , 271 
20200102,3900332,홍성," 1,250 "," 1,180 "
20200102,3900334,광천, 330 , 347 
20200102,3900336,청소, 18 , 21 
20200102,3900338,대천," 1,201 "," 1,241 "
20200102,3900341,웅천, 189 , 171 
20200102,3900343,판교, 45 , 25 
20200102,3900345,서천, 311 , 326 
20200102,3900346,장항, 174 , 158 
20200102,3900348,군산, 501 , 552 
20200102,3900351,대야, 8 , 9 
20200102,3900361,행신," 2,159 "," 1,938 "
20200102,3900385,옥수, 51 , 37 
20200102,3900387,왕십리, 499 , 712 
20200102,3900388,청량리," 7,732 "," 8,457 "
20200102,3900423,퇴계원, 124 , 108 
20200102,3900424,사릉, 159 , 95 
20200102,3900426,평내호평," 1,624 "," 1,420 "
20200102,3900427,마석, 183 , 143 
20200102,3900429,청평, 128 , 152 
20200102,3900431,가평, 884 ," 1,026 "
20200102,3900433,백양리, 5 , 23 
20200102,3900434,강촌, 28 , 29 
20200102,3900436,남춘천," 2,302 "," 2,055 "
20200102,3900437,춘천," 1,679 "," 1,732 "
20200102,3900507,옥산, 39 , 31 
20200102,3900508,청리, 7 , 7 
20200102,3900509,상주, 114 , 96 
20200102,3900512,함창, 17 , 15 
20200102,3900513,점촌, 105 , 63 
20200102,3900515,용궁, 11 , 7 
20200102,3900516,개포, 11 , 1 
20200102,3900519,예천, 51 , 40 
20200102,3900538,극락강, 42 , 40 
20200102,3900539,광주, 436 , 504 
20200102,3900552,봉화, 43 , 24 
20200102,3900556,춘양, 37 , 49 
20200102,3900559,현동, 1 , 8 
20200102,3900560,분천, 403 , 340 
20200102,3900561,양원, 3 , 2 
20200102,3900562,승부, 6 , 4 
20200102,3900563,석포, 36 , 25 
20200102,3900565,철암, 326 , 401 
20200102,3900567,동백산, 28 , 33 
20200102,3900572,도계, 99 , 99 
20200102,3900576,신기, 1 , 4 
20200102,3900580,동해, 182 , 144 
20200102,3900581,묵호, 243 , 242 
20200102,3900585,정동진, 415 , 495 
20200102,3900587,강릉," 5,259 "," 4,518 "
20200102,3900590,정선, 26 , 25 
20200102,3900591,나전, 1 , 4 
20200102,3900592,아우라지, 4 , 23 
20200102,3900601,쌍룡, 6 , - 
20200102,3900604,영월, 195 , 173 
20200102,3900608,예미, 37 , 22 
20200102,3900611,민둥산, 42 , 40 
20200102,3900612,사북, 238 , 255 
20200102,3900613,고한, 113 , 91 
20200102,3900615,태백, 353 , 341 
20200102,3900621,부전," 1,605 "," 1,724 "
20200102,3900627,센텀, 363 , 303 
20200102,3900629,신해운대, 531 , 580 
20200102,3900631,기장, 403 , 370 
20200102,3900633,좌천, 156 , 153 
20200102,3900636,남창, 523 , 498 
20200102,3900637,덕하, 118 , 101 
20200102,3900639,태화강," 1,944 "," 1,872 "
20200102,3900641,호계," 1,126 ", 973 
20200102,3900645,불국사, 140 , 201 
20200102,3900647,경주," 1,140 "," 1,359 "
20200102,3900651,안강, 26 , 24 
20200102,3900672,하양, 756 , 784 
20200102,3900682,한림정, 22 , 22 
20200102,3900683,진영, 588 , 509 
20200102,3900685,창원, 853 , 703 
20200102,3900686,마산," 1,523 "," 1,352 "
20200102,3900687,중리, 93 , 85 
20200102,3900689,함안, 70 , 48 
20200102,3900690,군북, 84 , 79 
20200102,3900694,반성, 39 , 39 
20200102,3900699,진주, 848 , 850 
20200102,3900701,완사, 5 , 9 
20200102,3900703,북천, 13 , 9 
20200102,3900705,횡천, 7 , 15 
20200102,3900706,하동, 86 , 60 
20200102,3900707,진상, 15 , 12 
20200102,3900710,광양, 36 , 29 
20200102,3900714,벌교, 16 , 14 
20200102,3900715,조성, 17 , 10 
20200102,3900716,예당, 17 , 13 
20200102,3900717,득량, 14 , 10 
20200102,3900718,보성, 107 , 103 
20200102,3900720,명봉, 5 , 2 
20200102,3900722,이양, 7 , 4 
20200102,3900725,능주, 4 , 4 
20200102,3900727,화순, 31 , 25 
20200102,3900730,효천, 33 , 21 
20200102,3900731,서광주, 21 , 25 
20200102,3900883,광명," 13,316 "," 12,805 "
20200102,3900884,천안아산," 8,481 "," 8,813 "
20200102,3900894,김천구미," 2,490 "," 2,519 "
20200102,3900895,신경주," 1,568 "," 1,511 "
20200102,3900896,울산," 5,661 "," 4,901 "
20200102,3900898,상봉, 490 , 648 
20200102,3900901,진례, 10 , 2 
20200102,3900902,창원중앙," 2,735 "," 2,510 "
20200102,3900927,인천공항T1, 306 , 563 
20200102,3901026,공주, 185 , 206 
20200102,3901040,포항," 3,924 "," 3,364 "
20200102,3901057,횡성, 278 , 234 
20200102,3901058,둔내, 160 , 147 
20200102,3901059,평창, 370 , 338 
20200102,3901060,진부, 572 , 434 
20200102,3901063,인천공항T2, 97 , 197 
20200102,3901065,월포, 31 , 29 
20200102,3901066,장사, 16 , 11 
20200102,3901067,강구, 50 , 29 
20200102,3901068,영덕, 172 , 176 
20200103,0000924,송도교, 2 , - 
20200103,3900023,서울," 55,415 "," 58,289 "
20200103,3900025,용산," 23,303 "," 24,878 "
20200103,3900030,영등포," 12,368 "," 13,173 "
20200103,3900039,안양, 672 , 536 
20200103,3900047,수원," 18,694 "," 18,739 "
20200103,3900052,오산, 308 , 289 
20200103,3900055,서정리, 53 , 43 
20200103,3900057,평택," 8,243 "," 7,065 "
20200103,3900058,성환, 71 , 105 
20200103,3900061,천안," 8,030 "," 7,181 "
20200103,3900063,전의, 122 , 119 
20200103,3900066,조치원," 4,679 "," 4,371 "
20200103,3900068,부강, 177 , 101 
20200103,3900070,신탄진," 2,415 "," 1,951 "
20200103,3900073,대전," 23,924 "," 23,020 "
20200103,3900075,옥천, 641 , 630 
20200103,3900076,이원, 59 , 32 
20200103,3900077,지탄, 3 , 3 
20200103,3900078,심천, 34 , 23 
20200103,3900079,각계, 1 , - 
20200103,3900080,영동," 1,721 "," 1,765 "
20200103,3900081,황간, 105 , 99 
20200103,3900082,추풍령, 50 , 35 
20200103,3900085,김천," 3,271 "," 3,230 "
20200103,3900088,구미," 7,771 "," 7,401 "
20200103,3900089,사곡, 40 , 48 
20200103,3900090,약목, 132 , 156 
20200103,3900091,왜관," 2,669 "," 2,554 "
20200103,3900093,신동, 11 , 9 
20200103,3900095,대구," 7,894 "," 8,148 "
20200103,3900096,동대구," 28,370 "," 29,973 "
20200103,3900099,경산," 3,287 "," 3,058 "
20200103,3900101,남성현, 10 , 9 
20200103,3900102,청도," 1,389 "," 1,470 "
20200103,3900104,상동, 115 , 119 
20200103,3900105,밀양," 3,318 "," 3,482 "
20200103,3900107,삼랑진, 497 , 489 
20200103,3900108,원동, 86 , 78 
20200103,3900109,물금," 1,397 "," 1,318 "
20200103,3900110,화명, 220 , 205 
20200103,3900111,구포," 4,389 "," 4,701 "
20200103,3900112,사상, 89 , 123 
20200103,3900114,부산," 21,998 "," 24,314 "
20200103,3900122,덕소, 82 , 95 
20200103,3900130,양평," 1,662 "," 1,655 "
20200103,3900132,용문, 433 , 401 
20200103,3900133,지평, 72 , 70 
20200103,3900134,석불, 3 , 2 
20200103,3900135,일신, 12 , 7 
20200103,3900136,매곡, 12 , 11 
20200103,3900137,양동, 283 , 286 
20200103,3900138,삼산, 4 , 6 
20200103,3900140,동화, 38 , 29 
20200103,3900141,만종," 1,478 "," 1,333 "
20200103,3900142,원주," 1,719 "," 1,718 "
20200103,3900144,반곡, 191 , 74 
20200103,3900148,신림, 15 , 23 
20200103,3900153,제천," 2,016 "," 2,018 "
20200103,3900157,단양, 223 , 209 
20200103,3900160,희방사, 1 , 3 
20200103,3900161,풍기, 237 , 237 
20200103,3900164,영주, 807 , 743 
20200103,3900172,안동, 749 , 694 
20200103,3900177,의성, 130 , 130 
20200103,3900179,탑리, 25 , 30 
20200103,3900181,화본, 19 , 8 
20200103,3900184,신녕, 1 , 7 
20200103,3900186,북영천, 14 , 5 
20200103,3900187,영천," 1,235 "," 1,269 "
20200103,3900191,건천, 6 , 12 
20200103,3900194,서경주, 406 , 322 
20200103,3900195,서대전," 5,588 "," 5,524 "
20200103,3900199,계룡," 1,165 ", 970 
20200103,3900202,연산, 24 , 34 
20200103,3900204,논산," 1,772 "," 1,790 "
20200103,3900206,강경, 339 , 334 
20200103,3900208,함열, 143 , 126 
20200103,3900211,익산," 7,795 "," 7,734 "
20200103,3900214,김제, 569 , 635 
20200103,3900216,신태인, 133 , 114 
20200103,3900218,정읍," 1,525 "," 1,589 "
20200103,3900221,백양사, 65 , 66 
20200103,3900224,장성, 369 , 405 
20200103,3900229,광주송정," 7,288 "," 7,496 "
20200103,3900231,나주," 1,512 ", 992 
20200103,3900233,다시, 5 , 5 
20200103,3900235,함평, 121 , 110 
20200103,3900236,무안, 7 , 14 
20200103,3900237,몽탄, 14 , 25 
20200103,3900239,일로, 59 , 65 
20200103,3900240,임성리, 18 , 15 
20200103,3900242,목포," 2,940 "," 2,781 "
20200103,3900245,삼례, 183 , 155 
20200103,3900248,전주," 4,564 "," 4,670 "
20200103,3900253,임실, 117 , 121 
20200103,3900256,오수, 86 , 104 
20200103,3900259,남원," 1,013 "," 1,008 "
20200103,3900263,곡성, 303 , 320 
20200103,3900265,구례구, 223 , 317 
20200103,3900271,순천," 3,689 "," 3,817 "
20200103,3900276,여천," 1,358 "," 1,032 "
20200103,3900279,여수엑스포," 2,448 "," 2,797 "
20200103,3900280,오송," 12,365 "," 10,045 "
20200103,3900281,청주, 370 , 441 
20200103,3900282,오근장, 520 , 533 
20200103,3900283,청주공항, 136 , 120 
20200103,3900285,증평, 425 , 347 
20200103,3900288,음성, 243 , 194 
20200103,3900290,주덕, 188 , 129 
20200103,3900292,충주, 938 , 908 
20200103,3900295,삼탄, 9 , 3 
20200103,3900320,아산," 1,219 "," 1,163 "
20200103,3900322,온양온천," 1,033 "," 1,003 "
20200103,3900324,도고온천, 106 , 86 
20200103,3900327,신례원, 194 , 173 
20200103,3900328,예산," 1,119 ", 936 
20200103,3900330,삽교, 381 , 320 
20200103,3900332,홍성," 1,336 "," 1,238 "
20200103,3900334,광천, 440 , 395 
20200103,3900336,청소, 12 , 15 
20200103,3900338,대천," 1,416 "," 1,559 "
20200103,3900341,웅천, 176 , 209 
20200103,3900343,판교, 58 , 78 
20200103,3900345,서천, 396 , 389 
20200103,3900346,장항, 189 , 179 
20200103,3900348,군산, 665 , 636 
20200103,3900351,대야, 11 , 17 
20200103,3900361,행신," 2,267 "," 2,565 "
20200103,3900385,옥수, 36 , 63 
20200103,3900387,왕십리, 540 , 668 
20200103,3900388,청량리," 9,290 "," 9,785 "
20200103,3900423,퇴계원, 137 , 95 
20200103,3900424,사릉, 159 , 89 
20200103,3900426,평내호평," 1,701 "," 1,488 "
20200103,3900427,마석, 171 , 139 
20200103,3900429,청평, 190 , 216 
20200103,3900431,가평, 911 ," 1,065 "
20200103,3900433,백양리, 10 , 37 
20200103,3900434,강촌, 16 , 33 
20200103,3900436,남춘천," 2,555 "," 2,536 "
20200103,3900437,춘천," 1,964 "," 1,961 "
20200103,3900507,옥산, 36 , 34 
20200103,3900508,청리, 10 , 11 
20200103,3900509,상주, 145 , 138 
20200103,3900512,함창, 19 , 20 
20200103,3900513,점촌, 148 , 153 
20200103,3900515,용궁, 7 , 9 
20200103,3900516,개포, 19 , 4 
20200103,3900519,예천, 36 , 63 
20200103,3900538,극락강, 39 , 49 
20200103,3900539,광주, 536 , 575 
20200103,3900552,봉화, 42 , 42 
20200103,3900556,춘양, 35 , 35 
20200103,3900558,임기, - , 1 
20200103,3900559,현동, 1 , 1 
20200103,3900560,분천, 261 , 280 
20200103,3900561,양원, - , 1 
20200103,3900562,승부, 14 , 20 
20200103,3900563,석포, 22 , 23 
20200103,3900565,철암, 279 , 261 
20200103,3900567,동백산, 44 , 14 
20200103,3900572,도계, 132 , 111 
20200103,3900576,신기, 3 , - 
20200103,3900580,동해, 247 , 223 
20200103,3900581,묵호, 216 , 168 
20200103,3900585,정동진, 396 ," 1,247 "
20200103,3900587,강릉," 5,652 "," 5,738 "
20200103,3900588,별어곡, 2 , - 
20200103,3900590,정선, 11 , 12 
20200103,3900591,나전, - , 2 
20200103,3900592,아우라지, 2 , 2 
20200103,3900601,쌍룡, 6 , 1 
20200103,3900604,영월, 192 , 211 
20200103,3900608,예미, 52 , 43 
20200103,3900611,민둥산, 31 , 41 
20200103,3900612,사북, 266 , 220 
20200103,3900613,고한, 127 , 114 
20200103,3900615,태백, 390 , 343 
20200103,3900621,부전," 1,893 "," 2,010 "
20200103,3900627,센텀, 418 , 369 
20200103,3900629,신해운대, 604 , 629 
20200103,3900631,기장, 381 , 423 
20200103,3900633,좌천, 176 , 186 
20200103,3900636,남창, 657 , 587 
20200103,3900637,덕하, 139 , 131 
20200103,3900639,태화강," 2,235 "," 2,148 "
20200103,3900641,호계," 1,198 "," 1,179 "
20200103,3900645,불국사, 211 , 177 
20200103,3900647,경주," 1,321 "," 1,396 "
20200103,3900651,안강, 26 , 22 
20200103,3900672,하양," 1,042 ", 783 
20200103,3900682,한림정, 21 , 20 
